"participantID","vignette_id","condition","topic","PartnerTrust","PartnerReal","ConversationMyself","ConversationSharing","AttentionCheck","Belief_AI_Human"
"s4djv5eu09","romantic2","Human","Romantic",2,1,1,1,NA,-100
"s4djv5eu09","trivial1","Human","Trivial",6,6,2,6,"Mental Health",-97
"s4djv5eu09","trivial2","AI","Trivial",3,5,2,2,NA,63
"s5e3r217u0","mental1","AI","Mental",3,3,4,2,NA,-100
"s5e3r217u0","mental2","Human","Mental",1,1,2,1,NA,-100
"s5e3r217u0","romantic1","Human","Romantic",1,1,1,1,"Romantic",-100
"s5e3r217u0","romantic2","AI","Romantic",1,1,1,1,NA,-100
"s5e3r217u0","trivial1","Human","Trivial",2,1,1,1,"Mental Health",-100
"s5e3r217u0","trivial2","AI","Trivial",1,1,1,1,NA,-100
"se9f66na8e","mental1","AI","Mental",4,2,4,2,"Mental Health",-76
"se9f66na8e","mental2","Human","Mental",4,5,5,4,NA,-100
"se9f66na8e","romantic1","Human","Romantic",3,4,3,3,"Romantic",80
"se9f66na8e","romantic2","AI","Romantic",4,6,6,4,NA,-95
"se9f66na8e","trivial1","AI","Trivial",6,7,6,5,NA,-95
"se9f66na8e","trivial2","Human","Trivial",3,4,3,3,NA,74
"squgnmkyo5","mental1","AI","Mental",2,1,1,1,"I don't remember",-63
"squgnmkyo5","mental2","Human","Mental",3,3,4,2,NA,36
"squgnmkyo5","romantic1","AI","Romantic",4,5,4,5,NA,-41
"squgnmkyo5","romantic2","Human","Romantic",6,6,2,3,NA,-62
"squgnmkyo5","trivial1","AI","Trivial",2,2,2,2,"Mental Health",29
"squgnmkyo5","trivial2","Human","Trivial",5,2,1,5,NA,-75
"sr1ztykxl5","mental1","Human","Mental",3,2,1,2,NA,-76
"sr1ztykxl5","mental2","AI","Mental",2,2,1,1,"Romantic",-73
"sr1ztykxl5","romantic1","Human","Romantic",3,2,1,2,NA,-100
"sr1ztykxl5","romantic2","AI","Romantic",6,2,7,2,NA,50
"sr1ztykxl5","trivial1","AI","Trivial",5,2,4,2,NA,-100
"sr1ztykxl5","trivial2","Human","Trivial",2,2,1,1,"Mental Health",100
"ss02dalpa4","mental1","AI","Mental",1,5,5,1,NA,-100
"ss02dalpa4","mental2","Human","Mental",6,6,5,6,NA,59
"ss02dalpa4","romantic1","AI","Romantic",2,2,2,1,"Romantic",-100
"ss02dalpa4","romantic2","Human","Romantic",4,4,4,2,NA,-40
